Login,Malayalam,Ward No.,Ward Name,Elected Members,Role,Party,Reservation
,,12.0,MECHERIPPADY,K. VENUGOPALAN,Member,INC,General
,,13.0,THOYAKKAVU CENTRE,SHANTY.T.A,Member,INC,Woman
,,14.0,KODAMUKU,NASEEBA HUSSAIN,Member,INDEPENDENT,Woman
,,15.0,THOYAKKAVU WEST,LIJI ROY,Member,INC,Woman
,,16.0,KUNDAZHIYOOR,K.A SATHYAN,President,INC,General
,,17.0,PULIKKAKKADAVU,SUNNY VADAKKEN V.J. ZACHARIAS,Member,CPI,General
,,1.0,PALAPETTY,MAHESWARI.E,Member,CPI(M),SC Woman
,,2.0,PERADIPALLAM,AMUTHA RANI,Member,INC,ST Woman
,,3.0,KEEZHANTHOOR,S.MADHAVAN,President,INC,General
,,4.0,CHENKALAR,PULIKUTTY,Member,CPI,SC
,,5.0,KANTHALLOOR,THANKA SWAMY,Member,INC,ST
,,6.0,PUTHOOR,SELVI EASWARAN,Member,INC,Woman
,,7.0,PERUMALA,K R SUBRAMANIAN,Member,INC,General
,,8.0,KARSANADU,CHELLAMMAL GEORGE,Vice President,INC,SC Woman
,,9.0,MISSIONVAYAL,VIMALA JOYS MARY,Member,INC,Woman
,,10.0,DINDUKOMBU,K. SIRAJUDHEEN,Member,CPI(M),General
,,11.0,KOVILKADAVU,VELUMANY MAYILSWAMY,Member,INC,ST Woman
,,12.0,PIUSNAGER,SHELBY BINOJ,Member,CPI(M),Woman
,,13.0,CHURAKULAM,SOJAN.P.G,Member,INC,General
,,1.0,PERUMANNA NORTH,C K SALEENA,Member,IUML,Woman
,,2.0,KOZHICHENA,FATHIMA POTHUVATH,Member,IUML,Woman
,,3.0,CHENAPPURAM,BABU M P,Member,INDEPENDENT,SC
,,4.0,PALACHIRAMAD,ASYA,Member,IUML,Woman
,,5.0,KANHIKUZHINGARA,K GOPI,Member,CMP,General
,,6.0,KLARISOUTH,POOZHITHARA RAIHANATH,Member,INDEPENDENT,Woman
,,7.0,MOOCHIKKAL,FATHIMA,Vice President,INDEPENDENT,Woman
,,8.0,KURUKATHANI,SULAIKHA .K C,Member,CPI(M),Woman
,,9.0,KAZHUNGILAPADI,ISMAYIL.C,Member,INDEPENDENT,General
,,10.0,PUTHUR,MANNINGAL ABDUSSALAM,Member,INDEPENDENT,General
,,11.0,KUNNATHIYIL,C K A RAZAK,Member,IUML,General
,,12.0,KLARIOTTUPARAPPURAM,MOHAMMEDALI (BAVA),Member,INDEPENDENT,General
,,13.0,CHOLAMATTUPURAM,SAHIRA SAIDALAVI,Member,IUML,Woman
,,14.0,CHETTIAMKINAR,NAKUNNATH KUNHAHAMED A/S BAVA,President,IUML,General
,,15.0,KIZHAKKINITHARA,JUBAIRIYA KARUPARAMBIL,Member,IUML,Woman
,,16.0,PERUMANNA SOUTH,MUSTHAFA POTHUVATH,Member,IUML,General
,,1.0,KUNNUMMAKKARA,BABURAJ M.K,Member,SJ(D),General
,,2.0,PAYYATHUR,RAMAKRISHNAN MASTER P,Member,INC,General
,,3.0,ERAMALA,BINDU K.P,Member,SJ(D),Woman
,,4.0,ADHIYUR WEST,ANITHA MOTTEMMAL,Member,SJ(D),Woman
,,5.0,ADHIYUR EAST,SAFIYA C.M,Member,IUML,Woman
,,6.0,ORKKATTERI NORTH,SHEEBA K. M,Member,SJ(D),Woman
,,7.0,ORKKATTERI CENTRAL,PREMI O.P.,Member,SJ(D),Woman
,,8.0,ORKKATTERI EAST,SARASWATHI M.K.,Member,SJ(D),Woman
,,9.0,ELANGOLI,RABIA C.H,Member,IUML,Woman
,,10.0,KANDEEKKARA,PRASEETHA M.K,Member,INDEPENDENT,SC
,,11.0,KARTHIKAPPALLI,BIJU N.M.,Member,CPI,General
,,12.0,KURINJALIYOD,BABY BALAMBRATH,President,SJ(D),Woman
,,13.0,MUYIPRA,PRASEEDA MEETHALE PEEDIKAYIL,Member,INDEPENDENT,Woman
,,14.0,ORKKATTERI SOUTH,CRESENT ABDULLA,Vice President,IUML,General
,,15.0,ORKATTERI WEST,PARAMBATH PRABHAKARAN,Member,INC,General
,,16.0,NELLACHERI EAST,SANTHOSH KUMAR V.K,Member,SJ(D),General
,,17.0,NELLACHERI,PURUSHOTHAMAN P.M,Member,INDEPENDENT,General
,,18.0,KUNNUMMAKKARA SOUTH,K K KUNHAMMED,Member,IUML,General
,,19.0,THATTOLIKKARA,JEEJA. K.P,Member,CPI(M),Woman
,,1.0,MOUVERY,SHYLAJA KARAYI,Member,CPI(M),Woman
,,2.0,KINAVAKKAL,KARAYICHANDRI,Member,CPI(M),Woman
,,3.0,PURAKKALAM,K.P. NAZEER,President,CPI(M),General
,,4.0,KOTTAYAMANGADI,MAHIJA V,Member,CPI(M),Woman
,,5.0,THALLOD,C.VALSALA,Member,CPI(M),Woman
,,6.0,KOTTAYAMPOIL,K. JYOTHI,Member,CPI(M),SC Woman
,,7.0,KANATHUM CHIRA,M.K. ANITHA,Member,CPI,Woman
,,8.0,KUNNINUMEETHAL,M. PADMINI TEACHER,Vice President,CPI(M),Woman
,,9.0,6TH MILE,SUDHAKARAN MASTER,Member,CPI(M),General
,,10.0,ERUVATTY,M.P. DILEEP KUMAR,Member,CPI(M),General
,,11.0,POOLABAZAR,MALLISERY SREEDHARAN,Member,CPI(M),General
,,12.0,KOOVAPADY,P. MANOHARAN,Member,CPI(M),General
,,13.0,OLAYIKKARA,SREEJA.P,Member,CPI(M),Woman
,,14.0,MANGALOTUMCHAL,NOUFAL.N.V,Member,CPI(M),General
,,1.0,IRINGOLE SOUTH,MATHUKUNJU K .K,President,INC,General
,,2.0,IRINGOLE NORTH,SIVAN K.K,Member,INC,SC
,,3.0,MUDIKKARAI,SAJI PADAYATTIL,Member,INC,General
,,4.0,RAYAMANGALAM NORTH,ELDHOSE ARACKAL,Member,INC,General
,,5.0,VAIKKARA,SANTHA GOPALAN,Member,CPI(M),Woman
,,6.0,AATTUPADY,BASE PAUL,Member,INC,General
,,7.0,ARUNOOTTY AARU,MINI THANKAPPAN,Member,CPI(M),Woman
,,8.0,KEEZHILLAM EAST,SHAJI A.K,Member,CPI(M),General
,,9.0,KEEZHILLAM WEST,VARGHESE P.O,Member,INC,General
,,10.0,KEEZHILLAM NORTH,SUKUMARI AMMA K. V,Member,CPI(M),Woman
,,11.0,NELLIMOLAM,KAUSALLIA SIVAN,Member,CPI(M),SC Woman
,,12.0,PULLUVAZHY SOUTH,AJAYAKUMAR N.P,Member,CPI(M),General
,,13.0,VALAYANCHIRANGARA,JOY POONELIL,Member,INC,General
,,14.0,PULLUVAZHY WEST,MERCY JOSE,Member,INC,Woman
,,15.0,MALAMURY,SUJATHA CHANDRAN,Member,INC,Woman
,,16.0,PULLUVAZHY NORTH,SICILY THOMAS,Member,INC,Woman
,,17.0,PEECHANAMMUKAL,AMBIKA MURALIDHARAN,Vice President,INC,Woman
,,18.0,KURUPPAMPADY EAST,PADMINI V.K,Member,CPI(M),Woman
,,19.0,VATTAKKATTUPADY,SUBAIDA AZEES,Member,INC,Woman
,,20.0,PATTASSERY MANAPPADY,BIJU KURIAKOSE,Member,CPI(M),General
,,1.0,KUTHIYATHODU NORTH,VALSA PATHROSE,Member,INC,Woman
,,2.0,ATTUPURAM,GEETHA KRISHNAN,Member,INC,SC Woman
,,3.0,AYROOR,SARADA CHELLAPPAN,Member,CPI(M),Woman
,,4.0,NORTH ADUVASSERY,V A CHANDRAN,Vice President,INC,General
,,5.0,MALAYIKKUNNU,T M SATHEESAN,Member,INDEPENDENT,General
,,6.0,SOUTH ADUVASSERY,V K MANOJ KUMAR,Member,INC,SC
,,7.0,KUTTIPPUZHA,P RAJEEV,Member,INC,General
,,8.0,KUNNUKARA SOUTH,BEENA JOSE,Member,INDEPENDENT,Woman
,,9.0,KUNNUKARA EAST,SHIBI PUTHUSSERY,Member,INC,General
,,10.0,KUNNUKARA WEST,SHAJITHA SHAMSU,President,INC,Woman
,,11.0,VAYALKKARA EAST,THAJUNNESA NOUSHAD,Member,CPI(M),Woman
,,12.0,VAYALKKARA WEST,SUDHA VIJAYAN,Member,CPI(M),Woman
,,13.0,CHERIYATHEKKANAM,YOUSEF ARACKAL,Member,CPI(M),General
,,14.0,CHALAKKA,SAINA BABU,Member,INC,Woman
,,15.0,KUTHIYATHODU SOUTH,P V THOMAS,Member,INC,General
,,1.0,A.M.C,SURESH BABU,Member,INDEPENDENT,SC
,,2.0,PUTHENTHURA,AKHILA MALU SHAJI,Member,INC,Woman
,,3.0,FISHERMEN COLONY,K.CHANDRA MOHAN,Member,INC,General
,,4.0,PANNAKKAL THURUTHU,SHEELA,Member,INC,Woman
,,5.0,ANAMKANDAM,BABU PRABHAKARAN,Member,INC,General
,,6.0,MERY LAND,CHRISTEENA JERONE,Member,KRSP(B),Woman
,,7.0,NEENDAKARA,MARIYAMMA JOHN,Member,KRSP(B),Woman
,,8.0,PORT WARD,BABY PIOUS,Member,INC,Woman
,,9.0,VETTUTHARA,JESEENTHA,Member,INDEPENDENT,Woman
,,10.0,PARIMANAM SOUTH,C.S MINI,Member,BJP,Woman
,,11.0,PARIMANAM,T.MANOHARAN,Member,CPI(M),General
,,12.0,FOUNDATION,R.ABHILASH,Member,CPI(M),General
,,13.0,ALTHARA BEACH,S.CHANDRAN,Member,RSP,General
,,1.0,ELAMDESOM(WEST),SALOMI THOMAS,Member,INDEPENDENT,Woman
,,2.0,ELAMDESOM(EAST),SHEEBA RAJASEKHARAN,Member,CPI(M),Woman
,,3.0,ELAMDESOM(THOTTAM),KRISHNAN V.K,Member,INDEPENDENT,ST
,,4.0,PANNIMATTOM,MERLY JOSEPH,Member,INC,Woman
,,5.0,KURUVAKKAYAM,JOY THOMAS,Member,INDEPENDENT,General
,,6.0,METHOTTY,MOHANDAS DAS,Member,INC,SC
,,7.0,POOMALA,BIJI RAVIKUMAR,Member,CPI(M),Woman
,,8.0,KOOVAKANDAM,AJITHA BABU,Member,INDEPENDENT,Woman
,,9.0,KOZHIPPILLY,THANKAMMA RAMAN,President,INC,ST Woman
,,10.0,KULAPRAM,SANTHA GOPALAN,Member,INC,ST Woman
,,11.0,POOCHAPRA,VIJAYAN M I,Member,CPI(M),ST
,,12.0,VELLIYAMATTOM,NIBHA SHAJI,Member,INDEPENDENT,Woman
,,13.0,KARUKAPPALLY,VARKEY N V,Vice President,KC(M),General
,,14.0,NJARALAMPUZHA,ABDUL NIZAR V A,Member,INDEPENDENT,General
,,15.0,VETTIMATTOM,JOSSY M. VELACHERIL,Member,KC(M),General
,,1.0,RAJAMALAI,HARI KRISHNAN,Member,INC,SC
,,2.0,CHATTAMUNAAR,NAGENDRAN GANESAN,Member,CPI(M),General
,,3.0,LAKKAM,DEEPA RAJKUMAR,Member,INC,SC Woman
,,4.0,VAGUVARAI,ANITHA,Member,INC,SC Woman
,,5.0,THALAYAR,GANESAN,Member,CPI,SC
,,6.0,IRAVIKULAM,GEETHA BEDO,Member,CPI,SC Woman
,,7.0,KANNIMALAI,VALLI DEVI K,Member,INC,Woman
,,8.0,PERIYAVARAI,ARUMUGHAM CHINNAMUTHU,Member,CPI,SC
,,9.0,MUNNAR COLONY,NELSON. C,Member,INC,General
,,10.0,IKKANAGAR,KAIRUNNISHA YAKOOB,Member,INC,Woman
,,11.0,MOOLAKKADA,VIJAYAN K.K,Member,CPI(M),General
,,12.0,CHOKKANAD,MANIMOZHI .M,President,INC,SC Woman
,,13.0,OLD MUNNAR,K. PAKIYALAKSHMI MUNIYANDI,Member,CPI,Woman
,,14.0,SIVANMALAI,PARAMASIVAN,Member,INC,SC
,,15.0,LAKSHMI,CHELLADURAI. K,Member,INC,General
,,16.0,KALLAR,PACKIAM JOHN,Member,INC,SC Woman
,,17.0,NALLATHANNY,PAKIYA LAKSHMI RAVI.K,Member,CPI(M),SC Woman
,,18.0,NADAYAR,VIJAYALAKSHMI VIJAYAKUMAR,Member,INDEPENDENT,Woman
,,19.0,MUNNAR TOWN,JAQULINE MARY B,Member,INC,Woman
,,20.0,CHOLAMALAI,T. GANDHI,Vice President,INC,SC
,,21.0,KADALAR,T. GANDHI THAVASIKKAN,Member,CPI,SC
,,1.0,PANDAZHI,C . P. LAKSHMI,Member,CPI(M),SC Woman
,,2.0,MUTTANNUR,C.M PURUSHOTHAMAN MASTER,Member,INC,General
,,3.0,MUTTANNUR EAST,MUJEEB RAHMAN,Member,IUML,General
,,4.0,CHIRAKKAL,VADAKKEKKARA PUTHHAN VEEDU SARASWATHY AMMA,Vice President,INC,Woman
,,5.0,MARAVANTHA,RAJAN KARANGAL,President,INL,General
,,6.0,ATHANIPPADI,KULANGARAYIL KUNHIPPA,Member,IUML,General
,,7.0,PUTHUPPALLY,SAFIYA V.K,Member,IUML,Woman
,,8.0,KUTTIKKAD,SINDHU,Member,INDEPENDENT,Woman
,,9.0,THRITHALLUR SOUTH,A.V PUSHPA,Member,CPI(M),Woman
,,10.0,EZHIPPADAM,SULAIKHA C.P,Member,INC,Woman
,,11.0,KALOOR,NALAKATH SHAMEENA,Member,INC,Woman
,,12.0,MUNAMPAM,K.V SUDHAKARAN,Member,CPI(M),General
,,13.0,PURATHUR,P.P JAYANANDAN,Member,CPI(M),General
,,14.0,KAVILAKKAD SOUTH,PREETHY,Member,INDEPENDENT,Woman
,,15.0,KAVILAKKAD,K.T PRASANTH,Member,CPI(M),SC
,,16.0,THRITHALLUR,N.P. ABDU RAHIM,Member,CPI(M),General
,,17.0,EDAKKANAD,K.E. KADER KUTTY,Member,IUML,General
,,18.0,AZHIMUKHAM,AYISHABEEGAM.PV AYISHABEEGAM,Member,CPI(M),Woman
,,19.0,PADINJAREKKARA,K. RADHA,Member,CPI(M),Woman
,,1.0,KUNNATHUKARA,K.B.HASSAN,Member,CPI,General
,,2.0,MARAMPALLY,ABDUL JABBAR T.H,President,INC,General
,,3.0,KANAMPARAMBU,LAILA ABDUL KAREEM,Member,INC,Woman
,,4.0,KUTHIRAPPARAMBU,SHEEBA PAREETHUPILLA,Member,INC,Woman
,,5.0,MANJAPPETTY,SHAMEER THUKALIL,Member,INC,General
,,6.0,CHERUVELIKKUNNU,K. K. SHAJAHAN,Member,IUML,General
,,7.0,VANCHINADU,RAFIYA SHAFEEQUE,Member,CPI(M),Woman
,,8.0,MUDICKAL,VINOD MADHAVAN,Member,INC,SC
,,9.0,PALLIPRAM,K K SALIM,Member,INC,General
,,10.0,PALLIKKAVALA,ABU. K. M,Member,INC,General
,,11.0,MOULOODPURA,SHANAVAS ALI,Member,INC,General
,,12.0,MULLANKUNNU,RADHA KUTTAN,Member,CPI(M),SC Woman
,,13.0,KAIPPOORIKKARA,FASEELA ANSAR,Member,INC,Woman
,,14.0,KALLELY,SABIRA ALIYAR,Member,CPI(M),Woman
,,15.0,CHEMBARACKY,SANDHYA UNNIKRISHNAN,Member,INC,Woman
,,16.0,SOUTH VAZHAKKULAM,K. G. SHANIL KUMAR,Member,CPI(M),General
,,17.0,SOUTH EZHIPRAM,AYSHA ABOOBACKER,Vice President,IUML,Woman
,,18.0,NADAKKAVU,ADV. PUSHPA DAS,Member,CPI(M),Woman
,,19.0,MANAKKAMOOLA,AMBIKA RAJAPPAN,Member,BJP,Woman
,,20.0,THADIYITTAPARAMBU,M.P. DEVASSY,Member,INC,General
,,1.0,KOICKAL,KALLADA VIJAYAN,Member,INC,General
,,2.0,PAZHAYAR,SREERANGAM SAMBHU,Member,RSP,General
,,3.0,MARAVOOR,MAYADEVI,President,INC,Woman
,,4.0,UPOODU,JAYADEVI MOHAN,Member,CPI(M),Woman
,,5.0,NILAMEL,K.P.JOSE,Member,INC,General
,,6.0,CHITTUMALA,SIMON VARGHESE,Member,INC,General
,,7.0,ONAMBALAM,RAJU LAWRENCE,Member,INC,General
,,8.0,THEKKEMURI,SATHEESH PLAMTHUNDIL,Member,INC,SC
,,9.0,KALLADA TOWN WARD,NAKULARAJAN,Vice President,INC,General
,,10.0,KOCHUPLAMOODU,JASEENTHA P,Member,CPI(M),Woman
,,11.0,MUTTAM,ANUJA TITUS,Member,CPI(M),Woman
,,12.0,PARICHERI,SHALI KAMALAN,Member,KC(J),SC Woman
,,13.0,SINGARAPALLY,JACINTHA JOY,Member,INC,Woman
,,14.0,KODUVILA,SHIJI.S,Member,INC,SC Woman
,,15.0,THAZHAM,AMBILY SUDHARSHANAN,Member,CPI(M),Woman
,,1.0,MANDALAMKUNNU,USMAN MUHAMMADHALI,Member,IUML,General
,,2.0,EDAKKARA WEST,KAMARUDHEEN,Member,IUML,General
,,3.0,EDAKKARA EAST,SULAIKHA BADHUSHA,Member,INC,Woman
,,4.0,VADAKKE PUNNAYUR,NASEEMA JAMAL,Member,INDEPENDENT,Woman
,,5.0,KADAMPULLI,SUHARA BAKKAR,Member,CPI(M),General
,,6.0,THEKKE PUNNAYUR,JAYANTHI BALAN,Member,CPI(M),Woman
,,7.0,AVIYOOR,FATHIMMA NASEER,Member,IUML,Woman
,,8.0,KURANHIYOOR,PREMA SIVADHASAN,Member,INC,Woman
,,9.0,EDAKKAZHIYOOR NORTH,NAFEESAKKUTTY VALIYAKATH,President,INC,General
,,10.0,EDAKKAZHIYOOR WEST,M.K SHAHARBAN,Member,INC,Woman
,,11.0,KAJAH COMPANY EDAKKAZHIYOOR WEST,MOIDHEENSHA PALLATH,Member,INC,General
,,12.0,EDAKKAZHIYOOR EAST,A.K VIJAYAN,Member,CPI,General
,,13.0,PANCHAVADI SOUTH,N.K MUHAMMAD,Member,IUML,General
,,14.0,EDAKKAZHIYOOR BEACH,SURAJA GANESAN,Member,INC,Woman
,,15.0,PANCHAVADI NORTH,K.A SALIH,Member,CPI(M),General
,,16.0,OTTAYINY,NASEEMA HAMEED,Vice President,IUML,Woman
,,17.0,AKALADU SOUTH,K.K KAMALUDHEEN,Member,INC,General
,,18.0,MOONNAYINY,LAILA ALUNGAL,Member,IUML,Woman
,,19.0,BADARPALLI,SUBAITHA,Member,IUML,Woman
,,20.0,MOONNAYINY EAST,SIVANANDHAN .,Member,IUML,General
,,1.0,EDAYATTUR,MOHAMMED TWAIB V,Member,IUML,General
,,2.0,MANAZHI,AYISHA T,Member,IUML,Woman
,,3.0,OLIPPUZHA,C.ABDUL KAREEM,President,IUML,General
,,4.0,PULLIKUTH,SARAMMA V.V,Vice President,INC,Woman
,,5.0,KIZHAKKUMPADAM,EDAPATTA KURIKKAL SULAIKHA,Member,IUML,Woman
,,6.0,MELATTUR,BHARATHI K,Member,CPI(M),Woman
,,7.0,CHANTHAPPADI,UMMER K P,Member,IUML,General
,,8.0,UCHARAKKADAVU,MOHAMMED IQBAL,Member,CPI(M),General
,,9.0,KANHIRAMPARA,UNNIKRISHNAN K,Member,CPI(M),SC
,,10.0,AYILAKKARA,FATHIMA K,Member,INDEPENDENT,Woman
,,11.0,VENGOOR,RABIYA MUSAMMIL,Member,IUML,Woman
,,12.0,VALAYAPPURAM,A. YOUSUF HAJI,Member,INC,General
,,13.0,KODAKKADANCHERY,AJITHPRASAD,Member,INC,General
,,14.0,CHEMMANIYODE,VISHALA K,Member,INC,SC Woman
,,15.0,POOKKUNNU,JAYAKRISHNAN,Member,CPI(M),General
,,16.0,KATTUCHIRA,SHAHEEMA C.T,Member,IUML,Woman
,,1.0,KOLLAMPALLAM,SUJATHA V,Member,CPI(M),Woman
,,2.0,RAMASSERY,RAMESH M,Member,CPI(M),General
,,3.0,KOVILPALAYAM,A THANKAMANI,Member,CPI(M),General
,,4.0,VENGODI,APPUKUTTAN K,Member,INC,General
,,5.0,PARA,K REVATHYBABU,Member,INC,Woman
,,6.0,CHUTTIPPARA,VISALAKSHI C,Member,CPI(M),SC Woman
,,7.0,NOMBIKKODE,R SUMATHY,Member,CPI(M),Woman
,,8.0,EDUPPUKULAM,SUNILKUMAR A,Member,CPI(M),SC
,,9.0,POKKANTHODE,ASANTHASELIN C,Member,CPI(M),Woman
,,10.0,VENTHAPALAYAM,VELAYUDHAN N,Vice President,INC,General
,,11.0,NEYTHALA,C PADMAVATHY,President,CPI(M),Woman
,,12.0,CHETTIKALAM,REMA K,Member,INC,Woman
,,13.0,KARANGODE,SUNILKUMAR S,Member,INC,General
,,14.0,THENARI,C KUMARYSANJU,Member,INC,SC Woman
,,15.0,THOTTUMPULLY,SUMATHY S,Member,INC,Woman
,,16.0,MUTHIRAMPALLAM,SURESHKUMAR T.R,Member,INC,General
,,17.0,KAKKATHODE,SARAVANA KUMAR R,Member,INC,SC
,,18.0,ELAPPULLY,LOKESWARI K,Member,INC,Woman
,,19.0,PETTA,V KASIVISWANATHAN,Member,INC,General
,,20.0,ENNAPPADAM,K. R SURESH KUMAR,Member,CPI(M),General
,,21.0,THUVARAKKAD,A K SIVAKUMAR,Member,CPI(M),General
,,22.0,PALLATHERI,K.K SAJITHA,Member,CPI(M),Woman
,,1.0,THATHENGALAM,RAMLATH,Member,CPI(M),Woman
,,2.0,CHERUMKULAM (WEST),BINDU.A,Member,CPI(M),Woman
,,3.0,CHERUMKULAM (EAST),MOIDUTTY.A,Member,CPI(M),General
,,4.0,MELAMURI,MINI,Member,KC(M),Woman
,,5.0,MEZHUKAMPARA,BHARGAVI PRABHAKARAN,Member,INC,Woman
,,6.0,ANAMOOLI,LAKSHMI RAMANKUTTY,Member,INC,SC Woman
,,7.0,KOTTIYODE,USHAKUMARI,Member,CPI(M),Woman
,,8.0,KOLPADAM,SAFIYA HAMZA,Vice President,IUML,Woman
,,9.0,MUTHUVALLI,C.H.MUHAMMED,Member,IUML,General
,,10.0,KANJIRAVALLI,RAMANI,Member,INC,Woman
,,11.0,PUNCHACODE,YOONUS.P,Member,IUML,General
,,12.0,PARASSERI,AKKARA SAYDALAVI,Member,INDEPENDENT,General
,,13.0,MANALADI,UMMU KULSU,Member,IUML,Woman
,,14.0,MUNDAKANNI,BHASKARAN MUNDAKKANNI,Member,CPI,General
,,15.0,ARAYANKODE,K.MOHAMMEDALI,Member,IUML,General
,,16.0,THENNARI,SURESH.P,Member,CPI(M),SC
,,17.0,KAITHACHIRA,C.P. MOHAMEDALI,President,INC,General
,,1.0,PADINJARE VAZHI,PRASANNAN MADHAVAN,Member,CPI(M),SC
,,2.0,ERAMATHOOR WEST,BETSY JINU,Member,CPI(M),Woman
,,3.0,ERAMATHOOR EAST,USHA MURALI,Member,CPI(M),Woman
,,4.0,NAVODHAYA WARD,PUSHPA PRASANNAN,Member,INC,SC Woman
,,5.0,ORIPRAM,RAVI KUMAR,Member,INC,General
,,6.0,KARAZHMA,CHANDRIKA SADASIVAN PILLAI,Member,CPI(M),Woman
,,7.0,KARAZHMA EAST,NARAYANAN E.N,Member,CPI(M),General
,,8.0,ASRAMAM WARD,SIRIH SATHYADEVAN,Member,INC,Woman
,,9.0,PRAYIKARA,SREEVIDYA (ANITHA MATHEW),Member,KC(M),Woman
,,10.0,CHERUKOL,SREEKUMAR M,Vice President,INC,General
,,11.0,WEST CHERUKOL,GOPAN CHENNITHALA,Member,BJP,General
,,12.0,KOTTAYKAKAM,ARUNA KARUNAKARAN,Member,INC,Woman
,,13.0,PANCHAYAT OFFICE WARD,JAYADEV G,Member,BJP,General
,,14.0,THRIPPERUTHURA,RADHESH KANNANNOOR M.G,Member,INC,General
,,15.0,CHALAYIL KSHETHRAM WARD,HARIKUMAR G,Member,CPI,General
,,16.0,P H C WARD,SUSAMMA MATHAI,Member,CPI(M),Woman
,,17.0,THEKKUMMURI,RAGEESH MON K.R,Member,CPI,General
,,18.0,KARIKKUZHY,SHEEJA ANIL,President,INC,Woman
,,1.0,NIDUPPURAM,P V SAJEEVAN,Member,CPI(M),General
,,2.0,DALIL,THAYATH AMBU,Member,CPI(M),General
,,3.0,KUNNANANGAD,BABURAJ E,Member,CPI(M),SC
,,4.0,ODAYAMADAM,K THARAMANI,Member,CPI(M),Woman
,,5.0,KAVINISSERI,K NARAYANI TEACHER,President,CPI(M),Woman
,,6.0,KAVINISSERI VAYAL,P C KUNHAPPA,Member,CPI(M),General
,,7.0,PALLICHAL,LATHA V P,Member,CPI(M),Woman
,,8.0,AMBALAPPURAM,K V NARAYANAN,Vice President,CPI(M),General
,,9.0,KOWAPPURAM,RADHA P V,Member,CPI(M),Woman
,,10.0,MUNDAPPURAM,P K ASSAN KUNHI,Member,CPI(M),General
,,11.0,MUTTIL,VIMALA K V,Member,CPI(M),Woman
,,12.0,PALLIKKARA,VIJAYALAKSHMI P C,Member,INDEPENDENT,Woman
,,13.0,THAVAM,P M SHYLAJA,Member,CPI(M),Woman
,,1.0,MALI,A.MARI ARUMUGAM,Member,BJP,Woman
,,2.0,HEMAKKADAVU,VARGHESE JOSEPH ( ROY),Member,CPI(M),General
,,3.0,PULIYANMALA,JAYANTHI SENTHILKUMAR,Member,CPI,Woman
,,4.0,AMAYAR,LATHA BHAGYARAJ,Member,CPI(M),SC Woman
,,5.0,VELLIMALA,MOLLY JOSE,Member,INC,Woman
,,6.0,CHETTUKUZHY,SURESH SREEDHARAN (SURESH MANAMKERIL),Member,KC(M),General
,,7.0,KOCHARA,MATHEW CHACKO (K.C.MATHEW),Member,INDEPENDENT,General
,,8.0,RAJAKKANDAM,PHILOMINA RAJU,Vice President,KC(M),Woman
,,9.0,NETTITHOZHU,ANNAMMA JOHNSON (BEENA JOHNSON),Member,CPI(M),Woman
,,10.0,MYLADUMPARA,SHYLAMMA SIBY(BEENA SIBY),Member,INC,Woman
,,11.0,ACHANKANAM,RAJESWARI GANESAN,Member,INC,SC Woman
,,12.0,PUTTADI,THOMAS JOHN (REJI JOHNY),President,INC,General
,,13.0,ANAKKARA,ANNAKKUTTY RAJU,Member,INC,Woman
,,14.0,KADASIKKADAVU,RAJA MATTUKARAN,Member,INC,General
,,15.0,INCHAPPADAPPU,GEORGE UTHUP,Member,INC,General
,,16.0,SASTHANADA,KARUPPA SWAMY CHURULI,Member,CPI(M),SC
,,17.0,KARUVAKKULAM,K.KUMAR KAMAKSHI (K.KUMAR KARUVAKKULAM),Member,BJP,General
,,18.0,VANDANMEDU,RAJAN PARAMESWARAN PILLAI (G.P.RAJAN),Member,BJP,General
,,1.0,KALAYAMKODE,NABEESA PADUVIL,Member,IUML,Woman
,,2.0,KUMBALAMCHOLA,PRABHAKARAN MOOCHIKKAL,Member,INDEPENDENT,General
,,3.0,KALLAMALA,SUKUMARI CHETTIPALLIYALIL,Member,SJ(D),SC Woman
,,4.0,KALLAMKULAM,BEENA RAMAKRISHNAN,Member,CPI,Woman
,,5.0,AMBAMKUNNU,ZEENA JOSEPH,President,INC,Woman
,,6.0,POONCHOLA,AJITHA,Member,INC,Woman
,,7.0,IRUMBAKACHOLA,REJI,Member,KC(M),Woman
,,8.0,VARMAMKODE,SATHI RAMARAJAN,Member,CPI(M),Woman
,,9.0,KANHIRAPUZHA,RAJESH,Member,IUML,SC
,,10.0,MUNDAKUNNU,SREELEKHA AJAYAKUMAR,Member,INC,Woman
,,11.0,PALLIPPADI,MINIMOL P.S,Member,INDEPENDENT,Woman
,,12.0,KANHIRAM,RAJAN PUTHANVEETTIL,Member,INC,General
,,13.0,AKKIYAMPADAM,JOY JOSEPH ALIAS FRANCIS JOSEPH,Member,INC,General
,,14.0,KUPPAKURUSSI,P.MANIKANDAN,Member,CPI,General
,,15.0,KALLAMKUZHI,C.M.SIDHIQUE,Member,IUML,General
,,16.0,THRIKKALUR,U.M. RAJAN,Member,INDEPENDENT,General
,,17.0,CHIRAKKALPPADI,MUHAMMADALI ALIAS C.T. ALI,Member,IUML,General
,,18.0,KOTTIYODE,SHAMSUDHEEN ALIAS ABBAS,Vice President,IUML,General
,,19.0,NOTTAMALA,GEETHA HARIDASAN,Member,CPI(M),Woman
,,1.0,NADATHARA,BINDHU KATTUNGAL,President,INC,Woman
